Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,1914880,2022574,1914550
1,1914550,2011582,1914550
2,1917513,2008343,1914550
3,1914880,2010720,1914550
4,1914550,2011450,1914550
5,1920268,2005271,1914550
6,1914550,2011102,1914550
7,1914550,2012304,1914550
8,1909553,2001833,1914550
9,1909553,2002880,1909553
10,1907053,2005036,1909553
11,1907053,2005838,1907053
12,1909553,1992483,1907053
13,1907053,2010178,1907053
14,1909553,2003971,1907053
15,1909553,2008834,1907053
16,1905486,2003436,1907053
17,1904557,1998992,1905486
18,1904557,1998976,1904557
19,1904557,2007435,1904557
20,1904557,1997691,1904557
21,1905486,1988616,1904557
22,1904557,1991992,1904557
23,1904557,1992968,1904557
24,1901823,1998349,1904557
25,1901823,1998331,1901823
26,1900256,1986903,1901823
27,1901823,1990883,1900256
28,1901823,2001612,1900256
29,1895153,1997220,1900256
30,1890118,1999578,1895153
31,1888128,1994842,1890118
32,1895153,1990464,1888128
33,1888128,1997674,1888128
34,1888128,1989527,1888128
35,1890118,1981456,1888128
36,1882398,1979629,1888128
37,1888128,1997808,1882398
38,1888128,2001545,1882398
39,1890118,1970454,1882398
40,1882398,1986408,1882398
41,1882398,1979024,1882398
42,1888128,1981717,1882398
43,1885502,1984107,1882398
44,1882398,1981041,1882398
45,1885502,1979080,1882398
46,1882398,1973382,1882398
47,1881867,1976885,1882398
48,1881867,1975260,1881867
49,1881867,1996159,1881867
50,1882398,1976327,1881867
51,1879772,1964888,1881867
52,1880165,1979207,1879772
53,1881867,1971796,1879772
54,1879772,1975861,1879772
55,1879772,1975602,1879772
56,1876137,1963309,1879772
57,1876137,1956228,1876137
58,1876137,1973144,1876137
59,1876137,1963521,1876137
60,1876137,1968255,1876137
61,1874435,1968995,1876137
62,1874435,1953743,1874435
63,1871877,1976185,1874435
64,1869065,1960521,1871877
65,1874435,1971718,1869065
66,1869065,1974467,1869065
67,1874435,1975885,1869065
68,1871877,1963058,1869065
69,1869065,1963379,1869065
70,1869065,1975882,1869065
71,1871877,1955116,1869065
72,1869065,1948923,1869065
73,1869065,1961201,1869065
74,1865808,1965127,1869065
75,1869065,1963289,1865808
76,1865808,1954673,1865808
77,1869065,1966204,1865808
78,1865808,1961039,1865808
79,1865808,1960202,1865808
80,1865808,1950964,1865808
81,1865808,1967601,1865808
82,1865808,1957169,1865808
83,1865808,1943363,1865808
84,1865808,1956008,1865808
85,1865808,1966303,1865808
86,1863465,1951915,1865808
87,1865808,1972077,1863465
88,1863465,1944145,1863465
89,1863465,1958545,1863465
