Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,28059603,32074421,27831230
1,28059603,32332783,27831230
2,27831230,33347227,27831230
3,27831230,32709851,27831230
4,27831230,33281834,27831230
5,27670960,32940971,27831230
6,27831230,32340350,27670960
7,27670960,32675534,27670960
8,27831230,32499180,27670960
9,27831230,32700737,27670960
10,27670960,32028751,27670960
11,27831230,32311019,27670960
12,27670960,32787249,27670960
13,27670960,32787064,27670960
14,27576502,32321928,27670960
15,27576502,32157480,27576502
16,27576502,32384354,27576502
17,27576502,32450962,27576502
18,27576502,32019808,27576502
19,27576502,32051771,27576502
20,27452987,32400348,27576502
21,27452987,33046767,27452987
22,27430263,32556770,27452987
23,27430263,32796655,27430263
24,27430263,31988931,27430263
25,27430263,31995911,27430263
26,27343573,32268218,27430263
27,27320464,32161820,27343573
28,27181852,31605289,27320464
29,27181852,31713605,27181852
30,27181852,31646128,27181852
31,27181852,31873130,27181852
32,27131544,32041013,27181852
33,27024764,32731447,27131544
34,27024764,32342167,27024764
35,27100943,32084406,27024764
36,27024764,31631573,27024764
37,27131544,31565789,27024764
38,27024764,31911871,27024764
39,26960214,32179891,27024764
40,27024764,31664848,26960214
41,26989426,31727736,26960214
42,26960214,31735346,26960214
43,26960214,32219828,26960214
44,26950952,31391788,26960214
45,26950952,31866247,26950952
46,26950952,31921948,26950952
47,26857393,32020990,26950952
48,26636172,31837375,26857393
49,26636172,30897002,26636172
50,26707550,31139295,26636172
51,26777044,31765108,26636172
52,26777044,31405878,26636172
53,26636172,31377266,26636172
54,26636172,31433630,26636172
55,26636172,31854349,26636172
56,26636172,31920386,26636172
57,26636172,31363240,26636172
58,26472110,31070498,26636172
59,26533925,30974959,26472110
60,26381959,31294005,26472110
61,26636172,31208298,26381959
62,26381959,31325708,26381959
63,26381959,31549415,26381959
64,26381959,31133525,26381959
65,26248626,30902467,26381959
66,26248626,31770037,26248626
67,26248626,31222244,26248626
68,26282964,30654073,26248626
69,26262311,31267988,26248626
70,26173916,30697940,26248626
71,26173916,30925458,26173916
72,26228606,31249094,26173916
73,26173916,31020351,26173916
74,26162099,30742019,26173916
75,26162099,31275568,26162099
76,26162099,30624970,26162099
77,26173916,31117047,26162099
78,26173916,31009257,26162099
79,26025853,31100895,26162099
80,26030026,30707359,26025853
81,26030026,30427085,26025853
82,25874740,31023856,26025853
83,25874740,30979999,25874740
84,25878428,30461229,25874740
85,25878428,30857377,25874740
86,25878428,30847227,25874740
87,25878428,30455667,25874740
88,25878428,30562958,25874740
89,25857681,30704536,25874740
90,25787422,30617959,25857681
91,25857681,30668357,25787422
92,25809481,30048747,25787422
93,25787422,30521827,25787422
94,25787422,30266790,25787422
95,25787422,30243344,25787422
96,25787422,30318506,25787422
97,25787422,30061070,25787422
98,25787422,30306256,25787422
99,25736844,30664623,25787422
100,25736844,30115255,25736844
101,25690712,30613605,25736844
102,25543026,30292520,25690712
103,25543026,29961583,25543026
104,25690712,30318147,25543026
105,25690712,29878677,25543026
106,25710537,30000459,25543026
107,25543026,30144341,25543026
108,25543026,30198949,25543026
109,25543026,30519308,25543026
110,25543026,30357059,25543026
111,25543026,30342565,25543026
112,25416437,30793719,25543026
113,25416437,30128776,25416437
114,25416437,30514495,25416437
115,25543026,29986707,25416437
116,25416437,29973042,25416437
117,25416437,29743929,25416437
118,25321315,29535317,25416437
119,25321315,29487785,25321315
120,25321315,30078472,25321315
121,25321315,29824256,25321315
122,25321315,30276316,25321315
123,25321315,29714143,25321315
124,25321315,30322930,25321315
125,25321315,29539517,25321315
126,25321315,30232536,25321315
127,25249303,29892991,25321315
128,25249303,29542900,25249303
129,25111580,30001052,25249303
130,25111580,29490776,25111580
131,25249303,29665556,25111580
132,25111580,29664668,25111580
133,25111580,29564778,25111580
134,24924064,29913632,25111580
135,25111580,29696943,24924064
136,24924064,29698287,24924064
137,25041310,29838902,24924064
