Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,302476,363621,315549
1,280281,344587,302476
2,277918,354145,280281
3,278820,324361,277918
4,280814,323683,277918
5,280728,306005,277918
6,278524,310706,277918
7,278040,310339,277918
8,276994,303167,277918
9,277911,303885,276994
10,276663,307643,276994
11,277918,304673,276663
12,277918,309744,276663
13,277702,307139,276663
14,275371,306498,276663
15,277507,310159,275371
16,276103,316899,275371
17,276440,305401,275371
18,276881,306687,275371
19,276390,305800,275371
20,276415,298131,275371
21,275636,307269,275371
22,274321,325241,275371
23,276440,302068,274321
24,274870,298127,274321
25,275504,301449,274321
26,273408,305949,274321
27,274022,313170,273408
28,274523,303193,273408
29,272219,306123,273408
30,271345,305123,272219
31,271345,301592,271345
32,271345,293235,271345
33,271345,294469,271345
34,271345,293496,271345
35,271345,271345,271345
36,271345,276974,271345
37,271345,271345,271345
38,271345,271345,271345
39,271345,287704,271345
40,271345,271345,271345
41,271345,271345,271345
42,271345,286574,271345
43,271345,292647,271345
44,271345,295790,271345
45,271313,279378,271345
46,271313,283056,271313
47,271313,288734,271313
48,271313,284349,271313
49,271313,271313,271313
50,271313,271313,271313
51,271313,273073,271313
52,271313,295401,271313
53,271313,271313,271313
54,271313,288838,271313
55,271313,271313,271313
56,271313,281819,271313
57,271313,286018,271313
58,271313,282968,271313
59,271313,271313,271313
60,271313,271313,271313
61,271313,271313,271313
62,271313,271313,271313
63,271313,271313,271313
64,271313,271313,271313
65,271313,271313,271313
66,271313,271313,271313
67,271313,271313,271313
68,271313,271313,271313
69,271313,281339,271313
70,271313,273757,271313
71,271313,271313,271313
72,271313,288136,271313
73,271313,271313,271313
74,271313,271313,271313
75,271313,295991,271313
76,271313,271313,271313
77,271313,296795,271313
78,271313,271313,271313
79,271313,271313,271313
80,271313,271313,271313
81,271313,273095,271313
82,271313,277621,271313
83,271313,275258,271313
84,271313,271313,271313
85,271313,271313,271313
86,271313,271313,271313
87,271313,271313,271313
88,271313,287412,271313
89,271313,271313,271313
90,271313,271313,271313
91,271313,289292,271313
92,271313,271313,271313
93,271313,271313,271313
94,271313,271313,271313
95,271313,271313,271313
96,271313,278012,271313
97,271191,292035,271313
98,271191,284164,271191
99,271191,285285,271191
100,271191,287267,271191
101,271191,271191,271191
102,271191,271191,271191
103,271191,271191,271191
104,271191,271191,271191
105,271191,271191,271191
106,271191,271191,271191
107,271191,271191,271191
108,271191,271191,271191
109,271191,271191,271191
110,271191,271191,271191
111,271191,271191,271191
112,271191,271191,271191
113,271191,271191,271191
114,271191,271191,271191
115,271191,271191,271191
116,271191,271191,271191
117,271191,271191,271191
118,271191,271191,271191
119,271191,271191,271191
120,271191,271191,271191
121,271191,271191,271191
122,271191,271191,271191
123,271191,271191,271191
124,271191,271191,271191
125,271191,294477,271191
126,271191,271191,271191
127,271191,271191,271191
128,271191,271191,271191
129,271191,271191,271191
130,271191,271191,271191
131,271191,271191,271191
132,271191,271191,271191
133,271191,271191,271191
134,271191,271191,271191
135,271191,271191,271191
136,271191,271191,271191
137,271191,271191,271191
138,271191,271191,271191
139,271191,271191,271191
140,271191,271191,271191
141,271191,271191,271191
142,271191,271191,271191
143,271191,271191,271191
144,271191,271191,271191
145,271191,271191,271191
146,271191,271191,271191
147,271191,271191,271191
148,271191,271191,271191
149,271191,271191,271191
150,271191,271191,271191
151,271191,271191,271191
152,271191,271191,271191
153,271191,271191,271191
154,271191,271191,271191
155,271191,271191,271191
156,271191,271191,271191
157,271191,271191,271191
158,271191,271191,271191
159,271191,271191,271191
160,271191,271191,271191
161,271191,271191,271191
162,271191,271191,271191
163,271191,271191,271191
164,271191,271191,271191
165,271191,271191,271191
166,271191,271191,271191
167,271191,271191,271191
168,271191,271191,271191
169,271191,271191,271191
170,271191,271191,271191
171,271191,271191,271191
172,271191,271191,271191
173,271191,271191,271191
174,271191,271191,271191
175,271191,271191,271191
176,271191,271191,271191
177,271191,271191,271191
178,271191,271191,271191
179,271191,271191,271191
180,271191,271191,271191
181,271191,319582,271191
182,271191,271191,271191
183,271191,271191,271191
184,271191,271191,271191
185,271191,271191,271191
186,271191,271191,271191
187,271191,271191,271191
188,271191,271191,271191
189,271191,271191,271191
190,271191,271191,271191
191,271191,271191,271191
192,271191,271191,271191
193,271191,271191,271191
194,271191,271191,271191
195,271191,306134,271191
196,271191,271191,271191
197,271191,271378,271191
198,271191,271191,271191
199,271191,271191,271191
200,271191,271191,271191
201,271191,271191,271191
202,271191,271191,271191
203,271191,271191,271191
204,271191,285756,271191
205,271191,271191,271191
206,271191,271191,271191
207,271191,271191,271191
208,271191,271191,271191
209,271191,271191,271191
210,271191,271191,271191
211,271191,271191,271191
212,271191,271191,271191
213,271191,271191,271191
214,271191,271191,271191
215,271191,271191,271191
216,271191,271191,271191
217,271191,271633,271191
218,271191,271191,271191
219,271191,271191,271191
220,271191,271191,271191
221,271191,271191,271191
222,271191,271191,271191
223,271191,271191,271191
224,271191,271191,271191
225,271191,271191,271191
226,271191,271191,271191
227,271191,293533,271191
228,271191,271191,271191
229,271191,271191,271191
230,271191,271191,271191
231,271191,271191,271191
232,271191,271191,271191
233,271191,271191,271191
234,271191,271191,271191
235,271191,271191,271191
236,271191,271191,271191
237,271191,271191,271191
238,271191,271191,271191
239,271191,271191,271191
240,271191,271191,271191
241,271191,271191,271191
242,271191,280252,271191
243,271191,271191,271191
244,271191,271191,271191
245,271191,271191,271191
246,271191,271191,271191
247,271191,271191,271191
248,271191,271191,271191
249,271191,296522,271191
250,271191,271191,271191
251,271191,271191,271191
252,271191,298279,271191
253,271191,271191,271191
254,271191,271191,271191
255,271191,271191,271191
256,271191,271191,271191
257,271191,271191,271191
258,271191,271191,271191
259,271191,271191,271191
260,271191,271191,271191
261,271191,317653,271191
262,271191,271191,271191
263,271191,271191,271191
264,271191,271191,271191
265,271191,271191,271191
266,271191,271191,271191
267,271191,271191,271191
268,271191,271191,271191
269,271191,271191,271191
270,271191,271191,271191
271,271191,271191,271191
272,271191,271191,271191
273,271191,271191,271191
274,271191,271191,271191
275,271191,271191,271191
276,271191,271191,271191
277,271191,271191,271191
278,271191,271191,271191
279,271191,271191,271191
280,271191,271191,271191
281,271191,271191,271191
282,271191,271191,271191
283,271191,271191,271191
284,271191,271191,271191
285,271191,271191,271191
286,271191,271191,271191
287,271191,271191,271191
288,271191,271491,271191
289,271191,271191,271191
290,271191,271191,271191
291,271191,271191,271191
292,271191,271191,271191
293,271191,271191,271191
294,271191,271191,271191
295,271191,271191,271191
296,271191,271191,271191
297,271191,316395,271191
298,271191,302372,271191
299,271191,271191,271191
300,271191,271191,271191
301,271191,271191,271191
302,271191,271191,271191
303,271191,271191,271191
304,271191,271191,271191
305,271191,285513,271191
306,271191,271191,271191
307,271191,271191,271191
308,271191,271191,271191
309,271191,271191,271191
310,271191,271191,271191
311,271191,271191,271191
312,271191,271191,271191
313,271191,271191,271191
314,271191,271191,271191
315,271191,271191,271191
316,271191,271191,271191
317,271191,271191,271191
318,271191,271191,271191
319,271191,271191,271191
320,271191,271191,271191
321,271191,271191,271191
322,271191,271191,271191
323,271191,271191,271191
324,271191,271191,271191
325,271191,271191,271191
326,271191,271191,271191
327,271191,271191,271191
328,271191,271191,271191
329,271191,271191,271191
330,271191,271191,271191
331,271191,271191,271191
332,271191,271191,271191
333,271191,271191,271191
334,271191,271191,271191
335,271191,271191,271191
336,271191,271191,271191
337,271191,271191,271191
338,271191,271191,271191
339,271191,271191,271191
340,271191,271191,271191
341,271191,271191,271191
342,271191,271191,271191
343,271191,315050,271191
344,271191,271191,271191
345,271191,271191,271191
346,271191,271191,271191
347,271191,271191,271191
348,271191,271191,271191
349,271191,273950,271191
350,271191,271191,271191
351,271191,271191,271191
352,271191,271191,271191
353,271191,271191,271191
354,271191,271191,271191
355,271191,271191,271191
356,271191,271191,271191
357,271191,272037,271191
358,271191,271191,271191
359,271191,271191,271191
360,271191,271191,271191
361,271191,271191,271191
362,271191,271191,271191
363,271191,271191,271191
