Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,34536,43730,37880
1,34536,55364,34536
2,34536,37880,34536
3,34536,35759,34536
4,34536,35177,34536
5,34536,34894,34536
6,34536,34536,34536
7,34536,34536,34536
8,34536,34536,34536
9,34536,34536,34536
10,34536,34536,34536
11,34536,34536,34536
12,34536,34536,34536
13,34536,34536,34536
14,34536,34536,34536
15,34536,34536,34536
16,34536,34536,34536
17,34536,34536,34536
18,34536,34536,34536
19,34536,34536,34536
20,34536,34536,34536
21,34536,34536,34536
22,34536,35045,34536
23,34536,34536,34536
24,34536,34536,34536
25,34536,34536,34536
26,34536,34536,34536
27,34536,34536,34536
28,34536,34536,34536
29,34536,34536,34536
30,34536,34536,34536
31,34536,34536,34536
32,34536,34536,34536
33,34536,34536,34536
34,34536,34536,34536
35,34536,34536,34536
36,34536,34536,34536
37,34536,34536,34536
38,34536,42104,34536
39,34536,34536,34536
40,34536,34536,34536
41,34536,34536,34536
42,34536,50670,34536
43,34536,34536,34536
44,34536,34536,34536
45,34536,57569,34536
46,34536,34536,34536
47,34536,47927,34536
48,34536,34536,34536
49,34536,34536,34536
50,34536,34536,34536
51,34536,34536,34536
52,34536,34536,34536
53,34536,34536,34536
54,34536,34536,34536
55,34536,34536,34536
56,34536,34536,34536
57,34536,34536,34536
58,34536,35335,34536
59,34536,34536,34536
60,34536,34536,34536
61,34536,34536,34536
62,34536,34536,34536
63,34536,34536,34536
64,34536,34536,34536
65,34536,34536,34536
66,34536,34536,34536
67,34536,34536,34536
68,34536,34536,34536
69,34536,34536,34536
70,34536,34536,34536
71,34536,34536,34536
72,34536,34536,34536
73,34536,34536,34536
74,34536,34536,34536
75,34536,34536,34536
76,34536,34536,34536
77,34536,34536,34536
78,34536,34536,34536
79,34536,34536,34536
80,34536,34536,34536
81,34536,36268,34536
82,34536,34536,34536
83,34536,34536,34536
84,34536,34536,34536
85,34536,34536,34536
86,34536,34536,34536
87,34536,34536,34536
88,34536,34536,34536
89,34536,34536,34536
90,34536,34536,34536
91,34536,34536,34536
92,34536,34536,34536
93,34536,34536,34536
94,34536,34536,34536
95,34536,34536,34536
96,34536,34536,34536
97,34536,34536,34536
