Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
0,305854,373247,315006
1,300103,360458,305854
2,294493,361322,300103
3,290614,354299,294493
4,283255,350989,290614
5,278169,334764,283255
6,278169,342283,278169
7,278169,336875,278169
8,278169,330661,278169
9,278169,340588,278169
10,278169,333252,278169
11,278169,335286,278169
12,278169,334575,278169
13,278116,334876,278169
14,278116,344497,278116
15,278094,339005,278116
16,278094,332534,278094
17,278094,332235,278094
18,278094,333411,278094
19,277868,341824,278094
20,277840,332656,277868
21,277840,336866,277840
22,277840,332359,277840
23,277840,342031,277840
24,277840,336498,277840
25,277840,334227,277840
26,277314,341910,277840
27,277314,333220,277314
28,277314,340667,277314
29,277314,339294,277314
30,277314,341254,277314
31,277314,346636,277314
32,277314,340056,277314
33,277314,339628,277314
34,277314,337786,277314
35,277314,333278,277314
36,277314,331861,277314
37,276968,332645,277314
38,276897,338556,276968
39,276897,328185,276897
40,276897,343526,276897
41,276897,335338,276897
42,276897,335399,276897
43,276897,342917,276897
44,276897,331554,276897
45,276897,328912,276897
46,276897,329482,276897
47,276897,337838,276897
48,276897,339430,276897
49,276853,331785,276897
50,276853,330391,276853
51,276853,331570,276853
52,276853,333090,276853
53,276853,332136,276853
54,276853,332842,276853
55,276853,344318,276853
56,276853,337812,276853
57,276853,335460,276853
58,276853,337851,276853
59,276853,332246,276853
60,276853,341570,276853
61,276853,331986,276853
62,276853,327744,276853
63,276853,331895,276853
64,276853,347097,276853
65,276853,337274,276853
66,276853,335512,276853
67,276853,329699,276853
68,276756,328640,276853
69,276756,336995,276756
70,276756,338411,276756
71,276756,328254,276756
72,276756,339419,276756
73,276756,328047,276756
74,276509,340857,276756
75,276509,336662,276509
76,276509,334665,276509
77,276509,331060,276509
78,276509,332894,276509
79,276509,334577,276509
80,276236,331848,276509
81,276236,336829,276236
82,276236,333366,276236
83,276236,334177,276236
84,276236,340488,276236
85,276236,338761,276236
86,276236,333570,276236
87,276236,336488,276236
88,275742,327272,276236
89,275742,343121,275742
90,275742,335041,275742
91,275520,338915,275742
92,275520,337910,275520
93,275520,331513,275520
94,275520,336807,275520
95,275520,334978,275520
96,275520,329094,275520
97,275520,334048,275520
98,275520,333836,275520
99,275520,340177,275520
100,275520,336529,275520
101,275520,333313,275520
102,275520,330047,275520
103,275520,339886,275520
104,275520,334408,275520
105,275520,327401,275520
106,275403,332925,275520
107,275403,334045,275403
108,275381,342239,275403
109,275381,332502,275381
110,275381,333267,275381
111,275381,345189,275381
112,275381,332223,275381
113,275381,332568,275381
114,275215,330078,275381
115,275215,335924,275215
116,275215,323904,275215
117,275215,331762,275215
118,275215,331418,275215
119,275215,331791,275215
120,275215,331419,275215
121,275215,332945,275215
122,275215,328739,275215
123,275215,333843,275215
124,275215,337655,275215
125,275215,332335,275215
126,275172,335673,275215
127,275172,331420,275172
128,275172,338870,275172
129,274973,332439,275172
130,274973,326367,274973
131,274931,338014,274973
132,274931,327378,274931
133,274931,323776,274931
134,274931,330666,274931
135,274931,333331,274931
136,274931,326856,274931
137,274807,329764,274931
138,274807,323113,274807
139,274807,337567,274807
140,274807,339700,274807
141,274807,331509,274807
142,274807,328149,274807
143,274807,332693,274807
144,274689,324155,274807
145,274689,326376,274689
146,274460,333626,274689
147,274460,333709,274460
148,274460,334309,274460
149,274460,330943,274460
150,274460,335823,274460
151,274460,332982,274460
152,274460,331491,274460
153,274460,346068,274460
154,274297,326699,274460
155,274297,330836,274297
156,274111,328994,274297
157,274111,339937,274111
158,274111,329383,274111
159,274111,330738,274111
160,274111,331002,274111
161,274111,331991,274111
162,274111,329481,274111
163,274111,329594,274111
164,274111,326414,274111
165,274111,334398,274111
166,274111,332136,274111
167,274111,331418,274111
168,274111,333848,274111
169,274111,328679,274111
170,274111,327845,274111
171,274111,340478,274111
172,274111,336394,274111
173,274111,334646,274111
174,274111,329122,274111
175,274111,328786,274111
176,273947,331973,274111
177,273947,327721,273947
178,273947,327022,273947
179,273947,332050,273947
180,273947,328799,273947
181,273895,329884,273947
182,273895,341344,273895
183,273895,336309,273895
184,273895,329345,273895
185,273895,334572,273895
186,273895,340479,273895
187,273895,323023,273895
188,273895,325135,273895
189,273895,329503,273895
190,273881,331719,273895
191,273881,332471,273881
192,273881,336535,273881
193,273881,339107,273881
194,273881,336310,273881
195,273881,333694,273881
196,273881,345801,273881
197,273792,330413,273881
198,273792,332002,273792
199,273792,335836,273792
200,273792,330716,273792
201,273792,335827,273792
202,273792,326547,273792
203,273792,333540,273792
204,273792,332343,273792
205,273792,327184,273792
206,273792,338567,273792
207,273792,338390,273792
208,273792,326529,273792
209,273792,325974,273792
210,273792,327061,273792
211,273792,335457,273792
212,273792,335414,273792
213,273792,328587,273792
214,273792,330284,273792
215,273792,325746,273792
216,273792,334634,273792
217,273715,332020,273792
218,273715,325597,273715
219,273577,334452,273715
220,273561,332109,273577
221,273561,328530,273561
222,273561,328267,273561
223,273561,330819,273561
224,273561,328598,273561
225,273561,335209,273561
226,273561,340358,273561
227,273561,342580,273561
228,273386,336594,273561
229,273386,331031,273386
230,273386,332986,273386
231,273386,334296,273386
232,273386,331795,273386
233,273386,325563,273386
234,273386,326183,273386
235,273386,325730,273386
236,273386,327868,273386
237,273386,326800,273386
238,273386,342132,273386
239,273386,329430,273386
240,273386,329561,273386
241,273386,343508,273386
242,273386,326007,273386
243,273386,332661,273386
244,273386,327469,273386
245,273386,317377,273386
246,273386,331491,273386
247,273386,337620,273386
248,273386,334649,273386
249,273386,324861,273386
250,273386,334523,273386
251,273386,330005,273386
252,273386,340392,273386
253,273386,336161,273386
254,273386,332454,273386
255,273386,330971,273386
256,273386,332884,273386
257,273386,325142,273386
258,273386,326075,273386
259,273386,335586,273386
260,273386,326215,273386
261,273386,328192,273386
262,273386,329189,273386
263,273386,341178,273386
264,273386,338597,273386
265,273335,336970,273386
266,273335,330971,273335
267,273318,334429,273335
268,273318,329583,273318
269,273318,334428,273318
270,273174,331988,273318
271,273174,333904,273174
272,273174,328025,273174
273,273174,333183,273174
274,273174,333336,273174
275,272969,326786,273174
276,272969,325248,272969
277,272969,328747,272969
278,272969,332993,272969
279,272969,324409,272969
280,272969,327214,272969
281,272969,327797,272969
282,272969,329017,272969
283,272969,321294,272969
284,272969,332625,272969
285,272969,331238,272969
286,272969,325875,272969
287,272969,332590,272969
288,272969,322613,272969
289,272969,337969,272969
290,272969,328258,272969
291,272969,326771,272969
292,272969,329614,272969
293,272969,328447,272969
294,272969,321978,272969
295,272597,328496,272969
296,272597,330889,272597
297,272597,333602,272597
298,272597,329394,272597
299,272597,332966,272597
300,272597,336445,272597
301,272597,331198,272597
302,272597,322879,272597
303,272360,335711,272597
304,272360,331968,272360
305,272128,333472,272360
306,272128,326528,272128
307,272128,327287,272128
308,272111,327047,272128
309,272111,330098,272111
310,272111,331935,272111
311,272111,334942,272111
312,272111,317296,272111
313,272111,325993,272111
314,272111,326351,272111
315,272111,332123,272111
316,272111,331728,272111
317,272111,328863,272111
318,272111,325369,272111
319,272111,322113,272111
320,272111,333413,272111
321,272111,329851,272111
322,272111,337453,272111
323,272111,328165,272111
324,272067,340084,272111
325,272067,324829,272067
326,272067,326451,272067
327,272067,333571,272067
328,272067,339183,272067
329,272067,330925,272067
330,272067,327854,272067
331,272067,336823,272067
332,272067,328760,272067
333,272067,327797,272067
334,272067,325996,272067
335,272067,329469,272067
336,272067,331641,272067
337,272067,331530,272067
338,272067,329768,272067
339,272067,340104,272067
340,272067,338427,272067
341,272067,335150,272067
342,272067,338866,272067
343,272067,329063,272067
344,272067,327350,272067
345,272067,338875,272067
346,272067,333604,272067
347,272067,324688,272067
348,272067,333989,272067
349,272067,325508,272067
350,272067,330878,272067
351,272067,331550,272067
352,272067,321078,272067
353,272067,328669,272067
354,272067,340125,272067
355,272067,335465,272067
356,272067,327298,272067
357,272067,330824,272067
358,272067,326799,272067
359,272067,329542,272067
360,272067,325269,272067
361,272067,330674,272067
362,272067,345234,272067
363,272067,336527,272067
364,272067,328768,272067
365,272067,325006,272067
366,272067,332459,272067
367,272067,330155,272067
368,272067,332227,272067
369,272067,333528,272067
370,272067,325269,272067
371,272067,328036,272067
372,272067,334178,272067
373,272067,329241,272067
374,272067,332853,272067
375,272067,323370,272067
376,272067,329924,272067
377,272067,330560,272067
378,272067,334699,272067
379,272067,329948,272067
380,272067,337081,272067
381,272067,327669,272067
382,272067,330784,272067
383,272067,322997,272067
384,272067,324653,272067
385,272067,326193,272067
386,272067,328600,272067
387,272067,327881,272067
388,272067,327002,272067
389,272067,326705,272067
390,272067,327910,272067
391,272067,340831,272067
392,272067,323501,272067
393,272067,330999,272067
394,272067,332771,272067
395,272067,330735,272067
396,272067,327311,272067
397,272067,327227,272067
398,272067,321107,272067
399,272067,326258,272067
400,272067,328833,272067
401,272067,326501,272067
402,271977,324801,272067
403,271977,330863,271977
404,271977,327446,271977
405,271977,332715,271977
406,271977,331419,271977
407,271977,331411,271977
408,271977,321336,271977
409,271977,326677,271977
410,271977,325737,271977
411,271977,327505,271977
412,271977,330382,271977
413,271977,332247,271977
414,271977,321931,271977
415,271977,331151,271977
416,271977,326490,271977
417,271977,327655,271977
418,271977,328673,271977
419,271977,335068,271977
420,271977,327840,271977
421,271977,328149,271977
422,271977,332622,271977
423,271977,335749,271977
424,271977,331961,271977
425,271977,320911,271977
426,271977,329967,271977
427,271977,322956,271977
428,271977,335036,271977
429,271977,332445,271977
430,271977,327102,271977
431,271977,327434,271977
432,271977,335634,271977
433,271977,328541,271977
434,271977,323897,271977
435,271977,330723,271977
436,271977,327900,271977
437,271977,339431,271977
438,271977,323609,271977
439,271977,334008,271977
440,271977,328395,271977
441,271977,329806,271977
442,271977,334264,271977
443,271977,335657,271977
444,271977,323543,271977
445,271977,334346,271977
446,271977,335075,271977
447,271977,330200,271977
448,271977,325720,271977
449,271977,327748,271977
450,271977,327152,271977
451,271977,329894,271977
452,271977,328678,271977
453,271977,329947,271977
454,271977,320404,271977
455,271977,330797,271977
456,271977,325827,271977
457,271977,328266,271977
458,271977,329936,271977
459,271977,320106,271977
460,271977,334859,271977
461,271977,327051,271977
462,271977,332941,271977
463,271977,325026,271977
464,271977,330527,271977
465,271977,335651,271977
466,271977,332415,271977
467,271977,332189,271977
468,271789,334841,271977
469,271789,330379,271789
470,271789,329225,271789
471,271789,326830,271789
472,271789,324497,271789
473,271789,328910,271789
474,271789,330437,271789
475,271789,324445,271789
476,271789,334056,271789
477,271789,331158,271789
478,271789,332786,271789
479,271789,329332,271789
480,271789,323714,271789
481,271789,324025,271789
482,271789,329625,271789
483,271789,337547,271789
484,271789,326014,271789
485,271789,335499,271789
486,271789,328404,271789
487,271789,326589,271789
488,271789,330656,271789
489,271789,330759,271789
490,271789,326929,271789
491,271789,336130,271789
492,271789,322601,271789
493,271789,335901,271789
494,271789,325853,271789
495,271789,330701,271789
496,271789,324589,271789
497,271789,329096,271789
498,271789,337132,271789
499,271602,328121,271789
500,271602,330795,271602
501,271602,328529,271602
502,271602,355517,271602
503,271602,328943,271602
504,271602,333077,271602
505,271602,357656,271602
506,271602,335170,271602
507,271602,324643,271602
508,271602,327239,271602
509,271602,330123,271602
510,271602,322634,271602
511,271602,325038,271602
512,271602,338434,271602
513,271602,337974,271602
514,271602,331588,271602
515,271602,345240,271602
516,271602,322329,271602
517,271602,334101,271602
518,271602,328427,271602
519,271602,321869,271602
520,271602,338028,271602
521,271602,327237,271602
522,271602,327555,271602
523,271602,327674,271602
524,271602,330884,271602
525,271602,322917,271602
526,271602,329019,271602
527,271602,327867,271602
528,271602,328780,271602
529,271602,331128,271602
530,271602,329294,271602
531,271602,327855,271602
532,271602,325340,271602
533,271602,330451,271602
534,271602,327579,271602
535,271602,332515,271602
536,271602,331451,271602
537,271602,336917,271602
538,271602,329490,271602
539,271602,328684,271602
540,271602,334653,271602
541,271602,319917,271602
542,271602,329705,271602
543,271602,326779,271602
544,271602,330866,271602
545,271602,336374,271602
546,271602,328275,271602
547,271602,321221,271602
548,271602,341843,271602
549,271602,324941,271602
550,271602,327880,271602
551,271602,332647,271602
552,271602,327821,271602
553,271602,337875,271602
554,271602,332442,271602
555,271602,324200,271602
556,271602,336841,271602
557,271602,326148,271602
558,271602,330083,271602
559,271602,333083,271602
560,271602,328634,271602
561,271602,335260,271602
562,271602,333186,271602
563,271602,347964,271602
564,271602,336141,271602
565,271602,328832,271602
566,271602,335911,271602
567,271602,320196,271602
568,271602,321815,271602
569,271602,321309,271602
570,271602,328848,271602
571,271602,328999,271602
572,271602,332905,271602
573,271602,333069,271602
574,271602,332080,271602
575,271602,333033,271602
576,271588,328148,271602
577,271588,326973,271588
578,271588,326535,271588
579,271588,334579,271588
580,271588,328313,271588
581,271588,327298,271588
582,271588,332681,271588
583,271588,331180,271588
584,271588,330219,271588
585,271588,330482,271588
586,271588,329454,271588
587,271588,330400,271588
588,271588,331728,271588
589,271588,330960,271588
590,271463,324539,271588
591,271463,328789,271463
592,271463,326284,271463
593,271463,327232,271463
594,271463,337355,271463
595,271463,326432,271463
596,271463,341525,271463
597,271463,322120,271463
598,271463,339205,271463
599,271463,328203,271463
600,271463,324988,271463
601,271463,331844,271463
602,271463,326327,271463
603,271463,337456,271463
604,271463,329115,271463
605,271446,325119,271463
606,271446,338230,271446
607,271446,327263,271446
608,271446,332266,271446
609,271446,333201,271446
610,271446,331035,271446
611,271446,329177,271446
612,271446,338037,271446
613,271446,328342,271446
614,271446,323445,271446
615,271446,331402,271446
616,271446,333430,271446
617,271446,322729,271446
618,271395,323589,271446
619,271395,327459,271395
620,271395,330146,271395
621,271395,332752,271395
622,271395,329310,271395
623,271395,332132,271395
624,271351,326226,271395
625,271351,334194,271351
626,271351,329401,271351
627,271351,332559,271351
628,271351,330151,271351
629,271351,330921,271351
630,271351,324159,271351
631,271351,323671,271351
632,271351,336509,271351
633,271351,329186,271351
634,271351,325928,271351
635,271351,327342,271351
636,271351,330880,271351
637,271286,333007,271351
638,271286,329565,271286
639,271286,340222,271286
640,271286,339047,271286
641,271286,331407,271286
642,271286,332833,271286
643,271286,323804,271286
644,271169,328108,271286
645,271169,326814,271169
646,271169,343417,271169
647,271169,330134,271169
648,271157,332337,271169
649,271157,323330,271157
650,271157,329332,271157
651,271157,336599,271157
652,271157,329244,271157
653,271157,326932,271157
654,271157,332518,271157
655,271157,332221,271157
656,271157,327700,271157
657,271157,329891,271157
658,271157,331119,271157
659,271157,326691,271157
660,271157,332153,271157
661,271157,328949,271157
662,271157,329658,271157
663,271157,329896,271157
664,271157,333414,271157
665,270873,334097,271157
666,270873,323843,270873
667,270873,330155,270873
668,270856,325348,270873
669,270856,332407,270856
670,270856,331912,270856
671,270856,334560,270856
672,270856,335884,270856
673,270856,329779,270856
674,270856,330380,270856
675,270856,324977,270856
676,270856,330552,270856
677,270856,338766,270856
678,270856,329107,270856
679,270856,330634,270856
680,270856,330522,270856
681,270856,325504,270856
682,270856,340135,270856
683,270856,328327,270856
684,270856,320024,270856
685,270856,331153,270856
686,270856,333688,270856
687,270856,330327,270856
688,270856,335070,270856
689,270856,326752,270856
690,270856,339804,270856
691,270856,328023,270856
692,270856,323884,270856
693,270856,333023,270856
694,270856,338220,270856
695,270856,326862,270856
696,270856,324324,270856
697,270856,328654,270856
698,270809,326656,270856
699,270809,338263,270809
700,270809,328319,270809
701,270809,341554,270809
702,270809,331568,270809
703,270809,328290,270809
704,270809,329823,270809
705,270809,322120,270809
706,270809,334905,270809
707,270809,336973,270809
708,270809,325281,270809
709,270809,330914,270809
710,270809,331288,270809
711,270809,331052,270809
712,270809,328045,270809
713,270809,330655,270809
714,270809,338048,270809
715,270809,328125,270809
716,270809,332145,270809
717,270809,324155,270809
718,270809,325690,270809
719,270809,326697,270809
720,270641,328247,270809
721,270641,326920,270641
722,270641,333974,270641
723,270641,326381,270641
724,270641,325804,270641
725,270641,336644,270641
726,270641,322339,270641
727,270641,320827,270641
728,270641,328338,270641
729,270641,327357,270641
730,270641,321595,270641
731,270641,333363,270641
732,270641,338173,270641
733,270641,327605,270641
734,270641,325690,270641
735,270641,327231,270641
736,270641,327942,270641
737,270641,328143,270641
738,270641,340572,270641
739,270641,340430,270641
740,270641,331735,270641
741,270641,329752,270641
742,270641,330685,270641
743,270641,332235,270641
744,270641,319077,270641
745,270641,325989,270641
746,270641,339517,270641
747,270641,336288,270641
748,270641,339042,270641
749,270641,339120,270641
750,270641,317110,270641
751,270641,334485,270641
752,270641,326702,270641
753,270641,331935,270641
754,270641,325479,270641
755,270641,326584,270641
756,270641,322990,270641
757,270641,326361,270641
758,270641,328957,270641
759,270641,328714,270641
760,270641,337799,270641
761,270641,328005,270641
762,270641,322066,270641
763,270641,335756,270641
764,270641,342938,270641
765,270641,331766,270641
766,270641,322633,270641
767,270641,332534,270641
768,270641,335409,270641
769,270641,329041,270641
770,270641,327164,270641
771,270641,324054,270641
772,270641,333398,270641
773,270641,336705,270641
774,270641,328447,270641
775,270641,325342,270641
776,270641,323667,270641
777,270641,328105,270641
778,270641,327999,270641
779,270641,324998,270641
780,270641,331951,270641
781,270641,322073,270641
782,270641,328343,270641
783,270641,329397,270641
784,270641,326758,270641
785,270641,336748,270641
786,270641,331211,270641
787,270641,324043,270641
788,270641,327029,270641
789,270641,324942,270641
790,270641,319931,270641
791,270641,324924,270641
792,270641,328264,270641
793,270641,325995,270641
794,270641,325187,270641
795,270641,337647,270641
796,270641,323069,270641
797,270641,328855,270641
798,270641,320605,270641
799,270641,328348,270641
800,270641,338385,270641
801,270641,323604,270641
802,270641,334623,270641
803,270641,328372,270641
804,270641,329325,270641
805,270641,326484,270641
806,270641,329766,270641
807,270641,327605,270641
808,270641,321573,270641
809,270641,324955,270641
810,270641,328672,270641
811,270641,326466,270641
812,270641,333839,270641
813,270583,329480,270641
814,270583,325884,270583
815,270583,331255,270583
816,270583,331543,270583
817,270583,331304,270583
818,270583,319751,270583
819,270583,321711,270583
820,270583,319754,270583
821,270583,330229,270583
822,270583,330314,270583
823,270583,328081,270583
824,270583,325650,270583
825,270583,329834,270583
826,270583,331347,270583
827,270583,323759,270583
828,270583,329207,270583
829,270583,330088,270583
830,270583,324222,270583
831,270583,330478,270583
832,270583,324937,270583
833,270583,330763,270583
834,270583,336328,270583
835,270583,329512,270583
836,270583,333688,270583
837,270583,327237,270583
838,270583,326255,270583
839,270583,328966,270583
840,270551,326365,270583
841,270551,325373,270551
842,270549,325653,270551
843,270549,326801,270549
844,270549,329413,270549
845,270549,326132,270549
846,270549,330442,270549
847,270549,331242,270549
848,270549,328880,270549
849,270549,322674,270549
850,270549,325806,270549
851,270549,330169,270549
852,270549,325180,270549
853,270549,329410,270549
854,270549,334685,270549
855,270549,333755,270549
856,270549,330844,270549
857,270549,333683,270549
858,270549,328053,270549
859,270549,319166,270549
860,270549,326992,270549
861,270549,323274,270549
862,270549,332650,270549
863,270549,327597,270549
864,270549,327067,270549
865,270549,334624,270549
866,270549,327931,270549
867,270549,329524,270549
868,270549,333320,270549
869,270549,338449,270549
870,270549,331476,270549
871,270549,321191,270549
872,270549,323359,270549
873,270549,326449,270549
874,270549,327393,270549
875,270549,336291,270549
876,270549,327715,270549
877,270549,336871,270549
878,270453,329782,270549
879,270429,327609,270453
880,270429,321381,270429
881,270429,332997,270429
882,270429,330873,270429
883,270429,331937,270429
884,270429,324295,270429
885,270429,319279,270429
886,270429,328943,270429
887,270429,342117,270429
888,270429,330862,270429
889,270429,328731,270429
890,270429,334301,270429
891,270429,330125,270429
892,270429,326111,270429
893,270429,326911,270429
894,270429,329926,270429
895,270429,332396,270429
896,270429,328926,270429
897,270429,326623,270429
898,270429,324056,270429
899,270429,330974,270429
900,270429,327522,270429
901,270429,325295,270429
902,270429,339962,270429
903,270429,322083,270429
904,270322,334539,270429
905,270322,325555,270322
906,270322,332181,270322
907,270322,327171,270322
908,270322,330920,270322
909,270322,332704,270322
910,270322,328580,270322
911,270322,341662,270322
912,270322,322963,270322
913,270322,326470,270322
914,270322,337184,270322
915,270322,334891,270322
916,270322,328543,270322
917,270322,321995,270322
918,270322,323100,270322
919,270322,327086,270322
920,270322,327310,270322
921,270322,329432,270322
922,270322,325977,270322
923,270322,323209,270322
924,270322,334377,270322
925,270322,327514,270322
926,270322,324806,270322
927,270322,323638,270322
928,270322,327172,270322
929,270322,328098,270322
930,270322,324426,270322
931,270322,326214,270322
932,270189,330547,270322
933,270189,323468,270189
934,270189,328162,270189
935,270189,324691,270189
936,270189,336312,270189
937,270189,329195,270189
938,270189,330328,270189
939,270189,334057,270189
940,270189,327045,270189
941,270189,324503,270189
942,270189,323418,270189
943,270189,326481,270189
944,270189,325400,270189
945,270189,332740,270189
946,270189,325631,270189
947,270189,328966,270189
948,270189,328290,270189
949,270189,333570,270189
950,270189,328409,270189
951,270189,329264,270189
952,269918,325034,270189
